STOCK_CODE,STOCK_NAME,ISIN_CODE,LISTING_DATE,MARKET_TYPE,INDUSTRY_TYPE,CFI_CODE,NOTE
IMOEX.ME,MOEX.Russia.Index,,,,,,
399003.SZ,深證成份B股指數,,,,,,
399002.SZ,深證成份A股指數,,,,,,
000300.SS,滬深300指數,,,,,,
000003.SS,上證B股指數,,,,,,
000002.SS,上證A股指數,,,,,,
000001.SS,SSE,,,,,,
^XAX,NYSE,,,,,,
^VIX,Vix,,,,,,
^TWII,TSEC,,,,,,
^TA125.TA,TA-125,,,,,,
^STOXX50E,ESTX,,,,,,
^STI,STI,,,,新加坡海峽時報指數,,
^RUT,Russell,,,,羅素2000指數,,
^NZ50,S&P/NZX,,,,,,紐西蘭50指數
^NYA,NYSE,,,,,,
^N225,Nikkei,,,,日經平均指數,,
^N100,EURONEXT,,,,,,
^MXX,IPC,,,,,,
^MERV,MERVAL,,,,,,
^KS11,KOSPI,,,,,南韓綜合指數,
^KLSE,FTSE,,,,,,馬來西亞吉隆坡綜合指數
^JN0U.JO,Top,,,,Index,,
^JKSE,Jakarta,,,,,印尼雅加達綜合指數,
^IXIC,NASDAQ,,,,納斯達克指數,,
^IPSA,S&P/CLX,,,,,,
^HSI,HANG,,,,,恒生指數,
^HSCE,國企指數,,,,,,
^HSCC,紅籌指數,,,,,,
^GSPTSE,S&P/TSX,,,,,,
^GSPC,S&P,,,,標普500指數,,
^GDAXI,DAX,,,,德國DAX指數,,
^FTSE,FTSE,,,,英國FTSE100指數,,
^FCHI,CAC,,,,法國CAC指數,,
^DJI,Dow,,,,,,道瓊斯工業平均指數
^CASE30,EGX,,,,,,
^BVSP,IBOVESPA,,,,,,
^BUK100P,Cboe,,,,,,
^BSESN,S&P,,,,,印度孟買指數,
^BFX,BEL,,,,,,
^AXJO,S&P/ASX,,,,,,
^AORD,ALL,,,,澳洲普通股指數,,
QLD,ProShares Ultra QQQ,,,ETF,ProShares Ultra QQQ,,雅芬-x2
TQQQ,ProShares UltraPro QQQ,,,,ProShares UltraPro QQQ,,雅芬-x3
